type,sheet,qtype,尺度分類,尺度名,得点範囲,平均値,標準偏差,注釈
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,心理的な仕事の負担（量）*,3–12,8.415375142144862,2.135768670289146,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,心理的な仕事の負担（質）,3–12,8.627229990032598,1.9003489926993467,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,自覚的な身体的負担度,1–4,2.2427217361295093,1.0264111233438635,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,職場の対人関係でのストレス,3–12,6.301937880861602,1.9011250276091216,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,職場環境によるストレス,1–4,2.1239763195691386,0.938897498460992,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,57項目版 仕事の負担（11項目）,11–44,27.71124106873771,5.206060597031087,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,仕事のコントロール度*,3–12,7.787853201195715,1.99791600161202,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,技能の活用度,1–4,2.882264301523787,0.7819115317615687,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,仕事の適性度,1–4,2.843380957065138,0.7536336338791154,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
UNDEFINED!CHECK!,全体,BJSQ,【仕事のストレス要因】,働きがい,1–4,2.831979319949559,0.8096725495966435,* 23項目版に含まれる尺度．† 仕事の資源：新職業性ストレス簡易調査票から導入された概念．‡ 個人データのみで平均値を算出した指標（23項目版のみで使用する尺度・指標）．§ 活気（逆転値）、イライラ感、疲労感、不安感、抑うつ感（6項目）の合計値．¶ 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」における評価基準の例（その1）による．|| 下線は理論値を逸脱した値、グレーの網掛けはリスクが高い方向であることを表す．
