"ID","Age","Gender","Department_Major","Department_Minor","質問1","質問2","質問3","質問4","質問5","質問6","質問7","質問8","質問9","質問10","質問11","質問12","質問13","質問14","質問15","質問16","質問17","質問18","質問19","質問20","質問21","質問22","質問23","質問24","質問25","質問26","質問27","質問28","質問29","質問30","質問31","質問32","質問33","質問34","質問35","質問36","質問37","質問38","質問39","質問40","質問41","質問42","質問43","質問44","質問45","質問46","質問47","質問48","質問49","質問50","質問51","質問52","質問53","質問54","質問55","質問56","質問57","質問58","質問59","質問60","質問61","質問62","質問63","質問64","質問65","質問66","質問67","質問68","質問69","質問70","質問71","質問72","質問73","質問74","質問75","質問76","質問77","質問78","質問79","質問80"
1,29,"男性","開発本部","技術研究部",2,4,3,4,3,1,4,3,3,2,3,4,1,4,3,3,4,3,3,4,4,2,2,2,3,2,1,3,4,3,1,1,4,3,3,3,3,4,2,1,1,4,3,2,3,3,4,4,3,2,4,3,4,4,1,4,2,3,1,1,4,4,2,4,3,3,1,1,2,3,2,3,1,2,4,4,1,4,2,4
2,27,"女性","マーケット戦略部","マーケット戦略2課",3,3,3,4,2,4,1,1,2,1,4,3,4,3,3,3,2,1,1,4,2,4,4,1,1,1,1,1,4,4,4,3,3,2,1,4,4,2,2,2,3,1,4,2,1,4,1,1,1,2,4,4,4,2,1,2,4,1,1,3,4,4,2,3,2,1,4,2,4,3,1,4,3,3,2,3,4,3,4,3
3,45,"男性","マーケット戦略部","UX開発部",2,1,1,4,1,1,4,2,3,3,2,4,1,3,2,2,3,4,4,1,3,2,1,3,3,4,2,2,1,3,4,2,1,4,1,1,3,3,1,2,2,1,3,1,3,1,1,4,2,2,4,3,4,3,4,2,4,4,3,4,2,1,3,2,1,4,1,1,2,4,1,1,1,1,2,3,2,1,3,2
4,50,"男性","企画部","広報IR課",2,1,4,2,3,2,1,3,2,3,1,4,3,4,2,3,1,2,4,2,4,4,3,3,2,4,1,4,2,4,1,3,1,1,1,1,3,4,4,4,2,2,1,4,1,2,4,1,2,1,3,3,3,4,2,1,3,1,1,3,4,1,3,3,1,2,2,4,2,3,2,4,3,3,2,3,2,4,2,4
5,55,"女性","企画部","事業開発課",2,3,4,4,1,4,1,2,3,1,1,3,1,4,1,3,4,3,1,1,2,1,4,3,4,4,1,3,3,2,4,1,1,3,4,4,2,3,1,4,4,2,2,1,4,2,2,2,2,1,1,3,4,3,4,3,4,3,2,2,2,3,4,1,2,2,3,2,4,4,2,2,1,4,2,1,1,3,2,2
6,20,"女性","生産本部","品質保証部",2,1,3,2,3,1,4,4,3,4,4,1,3,3,4,4,4,2,2,4,4,3,1,4,4,4,1,4,2,2,4,1,1,1,1,4,3,4,2,1,2,2,2,1,2,1,1,1,1,3,3,3,1,4,4,1,2,2,2,1,2,4,3,1,2,1,1,3,2,3,1,1,3,4,4,3,1,3,1,1
7,57,"男性","開発本部","技術研究部",4,3,2,2,1,3,1,4,1,1,2,2,3,3,2,3,2,3,4,4,3,3,1,2,2,4,1,1,1,3,3,4,1,3,4,4,4,1,3,3,4,2,1,4,3,2,4,4,3,4,3,1,4,4,2,2,1,4,4,4,4,1,2,4,3,3,4,2,1,2,2,4,2,4,1,2,1,4,1,3
8,26,"男性","企画部","事業開発課",2,2,2,4,2,1,3,4,1,4,4,4,2,4,1,2,4,2,3,2,2,4,4,4,4,4,4,4,2,3,3,2,3,1,3,3,1,4,4,3,2,2,2,3,1,1,1,4,1,2,2,2,1,2,2,2,1,1,1,3,2,4,3,2,1,4,3,4,1,2,1,3,2,2,2,4,3,3,4,4
9,57,"女性","開発本部","製品開発部",3,2,2,3,4,2,3,2,3,1,3,1,3,4,3,4,2,4,2,3,3,3,1,1,4,3,1,4,4,4,3,3,1,3,1,3,2,2,1,4,4,3,1,3,3,1,3,3,1,4,2,1,3,3,4,3,2,1,1,4,2,2,2,2,3,4,2,2,1,3,2,4,2,1,4,3,2,3,1,2
10,41,"男性","開発本部","デザイン部",3,2,2,1,1,1,4,3,3,3,3,4,2,2,1,3,2,3,1,4,3,1,1,2,3,1,1,4,4,3,4,3,2,1,1,3,1,2,4,2,1,3,3,4,4,2,4,2,3,1,3,1,2,1,1,4,4,2,1,1,3,4,2,3,2,4,2,2,3,4,4,4,3,1,4,4,3,2,4,2
